Source,Weight,orgName,BvD ID number,ISO code,NACE Rev. 2,NACE main section,Operating rev,No of employees
auto_10179,12,UNIVERSITA' DEGLI STUDI DI MILANO - BICOCCA,IT12621570154,IT,8542,P - Education,,
auto_10578,3,VISPIRON GMBH,DE8350254012,DE,8299,N - Administrative and support service activities,53588,445
auto_10626,10,VOLKSWAGEN AG,DE2070000543,DE,2910,C - Manufacturing,310607637,646837
auto_10824,1,WILSON GRAIN LLC,US174688545L,US,4621,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,530,2
auto_11094,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11208,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11343,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11389,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1149,10,BASF SE,DE7150000030,DE,2059,C - Manufacturing,94690569,111481
auto_11565,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11580,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11593,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11637,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11642,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11643,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11648,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11651,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11656,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1177,1,BAYERISCHE MOTOREN WERKE AG,DE8170003036,DE,2910,C - Manufacturing,153039961,149475
auto_1243,2,BENTLEY MOTORS LIMITED,GB00992897,GB,2910,C - Manufacturing,3506477,3985
auto_1271,2,BESTE S.P.A.,IT01629440973,IT,1390,C - Manufacturing,55188,205
auto_1341,2,BLICKLE RAEDER + ROLLEN GMBH U. CO. KG,DE7270011158,DE,2815,C - Manufacturing,,870
auto_1392,5,BOHNENKAMP AG,DE2310020512,DE,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,334360,250
auto_1417,4,"BORDELON MANAGEMENT, LLC",US129161269L,US,4520,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,470,44
auto_1433,12,BOSCH AUTOMOTIVE SERVICE SOLUTIONS LLC,US294596339L,US,4520,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,140,6
auto_1438,1,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,IN0006704774,IN,6201,J - Information and communication,1236960,
auto_1440,4,BOSCH LIMITED,IN30051FI,IN,2932,C - Manufacturing,1816427,6211
auto_1479,3,BRIDGESTONE CORPORATION,JP3010001034943,JP,2211,C - Manufacturing,31862125,129262
auto_1480,2,BRIDGESTONE EUROPE NV/SA,BE0441192820,BE,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4782857,384
auto_1481,2,BRIDGESTONE MOBILITY SOLUTIONS B.V.,NL61185787,NL,6201,J - Information and communication,,103
auto_1865,2,CESKE VYSOKE UCENI TECHNICKE V PRAZE,CZ68407700,CZ,8542,P - Education,217635,
auto_19,5,3DEFACTO GMBH,DE6050231366,DE,2800,C - Manufacturing,,71
auto_1915,2,CHRISTOPHER MAST,US273343487L,US,,NaN,,
auto_1969,2,CLARENCE HAIR,US163024953L,US,142,"A - Agriculture, forestry and fishing",360,2
auto_1999,6,"CNH (CHINA) MANAGEMENT CO., LTD.",CN9367123413,CN,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,317060,198
auto_2005,6,CNH INDUSTRIAL ITALIA S.P.A.,IT00370290363,IT,2830,C - Manufacturing,3984471,4429
auto_2007,6,CNH INDUSTRIAL N.V,NL56532474,NL,2830,C - Manufacturing,23473000,40070
auto_2067,1547,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,FR855200887,FR,2211,C - Manufacturing,30519678,132200
auto_2143,2,CONTI TEMIC MICROELECTRONIC GMBH,DE8190130779,DE,7490,"M - Professional, scientific and technical activities",,3000
auto_2147,280,CONTINENTAL AUTOMOTIVE FRANCE,FR314722026,FR,7219,"M - Professional, scientific and technical activities",481713,1575
auto_2149,283,CONTINENTAL AUTOMOTIVE GMBH,DE2190399628,DE,2931,C - Manufacturing,,90000
auto_2151,1,CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.,SG199708326N,SG,7219,"M - Professional, scientific and technical activities",163597,
auto_2160,11,CONTINENTAL REIFEN DEUTSCHLAND GMBH,DE2190563260,DE,2211,C - Manufacturing,,3
auto_2163,2,CONTINENTAL TEVES AG & CO. OHG,DE6070206503,DE,7010,"M - Professional, scientific and technical activities",,5800
auto_2208,2,CORNELL UNIVERSITY,US*B000096285,US,8541,P - Education,,
auto_2226,1,COVESTRO AG,DE5330324269,DE,2014,C - Manufacturing,19309717,17985
auto_2227,1,COVESTRO DEUTSCHLAND AG,DE5330180647,DE,2016,C - Manufacturing,8074103,6839
auto_2228,3,COVESTRO INTELLECTUAL PROPERTY GMBH & CO. KG,DE5330360758,DE,7740,N - Administrative and support service activities,,1
auto_2444,1,DEERE & CO,US362382580,US,2830,C - Manufacturing,52179000,82200
auto_2511,4,DEUTSCHES INSTITUT FUER KAUTSCHUKTECHNOLOGIE E. V.,DE2190094951,DE,7219,"M - Professional, scientific and technical activities",,75
auto_2783,1,EASYFILL APS,DK38226673,DK,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,
auto_353,2,AIRBUS,FR383474814,FR,3030,C - Manufacturing,54331593,
auto_356,6,AIRBUS DEFENCE AND SPACE GMBH,DE8330176530,DE,2511,C - Manufacturing,4797564,11431
auto_368,18,AIRBUS OPERATIONS,FR420916918,FR,3030,C - Manufacturing,12327757,15087
auto_369,33,AIRBUS OPERATIONS GMBH,DE2150398592,DE,3030,C - Manufacturing,9938568,18783
auto_370,37,AIRBUS OPERATIONS LIMITED,GB03468788,GB,3030,C - Manufacturing,4967187,7097
auto_3754,3,FRANK GRAMLING,US130936447L,US,6910,"M - Professional, scientific and technical activities",1490,4
auto_3781,4,FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG EINGETRAGENER VEREIN,DE8170003303,DE,7210,"M - Professional, scientific and technical activities",3062670,30350
auto_3943,1,GAPI TECHNISCHE PRODUKTE GMBH,DE5190507630,DE,2229,C - Manufacturing,13530,78
auto_4173,7,GOODYEAR TIRE & RUBBER CO,US340253240,US,2211,C - Manufacturing,20805000,74000
auto_4183,4,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAT HANNOVER,DE*110191344597,DE,8541,P - Education,,
auto_4481,2,HENKEL AG & CO. KGAA,DE5050001329,DE,2041,C - Manufacturing,24115814,51200
auto_4570,1,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,DE*110191312867,DE,8542,P - Education,,
auto_4576,1,HOCHSCHULE OSNABRUECK,DE2310063141,DE,8542,P - Education,192303,1190
auto_4749,7,HYUNDAI MOTOR COMPANY,KR1101110085450,KR,2910,C - Manufacturing,112465501,
auto_4873,85,ILLINOIS TOOL WORKS INC,US361258310,US,2829,C - Manufacturing,15932000,46000
auto_5374,1,JAGOTA LLC,US335156285L,US,4634,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1110,3
auto_5382,2,JAPAN TEXAS INSTRUMENTS LLC,JP7011101027932,JP,2931,C - Manufacturing,1145528,1200
auto_5405,1,JESSICA MCDOWELL,US285450626L,US,,NaN,,
auto_5441,1,JOHN DEERE GMBH & CO. KG,DE7170326896,DE,2890,C - Manufacturing,9378758,10655
auto_5501,2,JUNGHEINRICH AG,DE2150423028,DE,5229,H - Transportation and storage,5091517,19807
auto_5506,4,JUSTIN RUSSELL,US290359370L,US,7490,"M - Professional, scientific and technical activities",200,7
auto_5628,7,KIA AUSTRIA GESELLSCHAFT M.B.H.,AT9110438775,AT,4511,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,230712,
auto_5652,2,KISKER,US147216842L,US,,NaN,100,5
auto_5706,1,KOEHLER INNOVATION & TECHNOLOGY GMBH,DE7210176492,DE,7219,"M - Professional, scientific and technical activities",,123
auto_5723,1,KOLON INDUSTRIES INC.,KR1353110013606,KR,2060,C - Manufacturing,4235361,
auto_5758,1,KORDSA TEKNIK TEKSTIL ANONIM SIRKETI,TR30048ET,TR,1399,C - Manufacturing,,4993
auto_5795,85,KT PROJEKTENTWICKLUNGS-GMBH,DE7070266543,DE,7112,"M - Professional, scientific and technical activities",,1
auto_5954,2,LEHIGH UNIVERSITY IACOCCA HALL,US128184637L,US,8541,P - Education,65300,577
auto_6190,1,LUXEMBOURG INSTITUTE OF SCIENCE  AND TECHNOLOGY,LU9370261328,LU,8542,P - Education,77586,
auto_6191,1,LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY,LULJ53,LU,7219,"M - Professional, scientific and technical activities",,
auto_6231,1,MAGGI CATENE S.P.A.,IT00232250134,IT,2593,C - Manufacturing,15226,80
auto_6232,1,MAGGI GROUP S.R.L.,IT02909440139,IT,2593,C - Manufacturing,5231,61
auto_6319,10,MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,FR855200507,FR,7010,"M - Professional, scientific and technical activities",6158317,16113
auto_6381,2,MASERATI DEUTSCHLAND GMBH,DE6250202098,DE,7022,"M - Professional, scientific and technical activities",6949,10
auto_6382,7,MASERATI S.P.A.,IT08245890010,IT,2910,C - Manufacturing,2411856,1304
auto_6436,2,MAXION WHEELS,US320072578,US,2932,C - Manufacturing,1904300,6400
auto_6439,4,MAXION WHEELS SEDALIA LLC,US258204008L,US,2932,C - Manufacturing,80500,80
auto_6454,2,MCALISTERS,US222287858L,US,5610,I - Accommodation and food service activities,4710,20
auto_6611,1478,MICHELIN RECHERCHE ET TECHNIQUE SA,CHCHE102674351,CH,7219,"M - Professional, scientific and technical activities",,4
auto_7034,6,NIRA DYNAMICS AB,SE5566003413,SE,7112,"M - Professional, scientific and technical activities",25391,116
auto_732,2,ARKEMA,FR445074685,FR,2013,C - Manufacturing,12353355,20944
auto_7559,3,PIRELLI,IT00886890151,IT,4730,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,6710348,26247
auto_7561,28,PIRELLI TYRE SPA,IT07211330159,IT,2211,C - Manufacturing,4863573,1229
auto_7662,30,POLITECNICO DI MILANO,IT80057930150,IT,8541,P - Education,,
auto_7702,5,PORSCHE AUTOMOBIL HOLDING SE,DE7330003759,DE,7010,"M - Professional, scientific and technical activities",,39
auto_7704,1,PORSCHE GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE7330220574,DE,6420,K - Financial and insurance activities,,3
auto_7922,1,QUICKFILL PRODUCTS APS,DK34586306,DK,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,
auto_7962,10,RALF BOHLE GMBH,DE5150000654,DE,2211,C - Manufacturing,249662,222
auto_8046,3,REIFENHAUS BECHTOLD GMBH,DE8170378235,DE,4532,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,10
auto_8177,23,ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE7330000658,DE,2932,C - Manufacturing,98824709,413811
auto_8181,2,ROBERT BOSH,US189844029L,US,,NaN,490,1
auto_8347,41,SAFRAN,FR562082909,FR,3030,C - Manufacturing,22119140,83276
auto_8355,56,SAFRAN ELECTRONICS & DEFENSE,FR480107911,FR,2651,C - Manufacturing,1655618,6725
auto_8362,56,SAFRAN LANDING SYSTEMS,FR712019538,FR,3030,C - Manufacturing,2096151,
auto_8386,1,SAINT-GOBAIN ABRASIFS,FR669801243,FR,2391,C - Manufacturing,165248,
auto_8387,1,"SAINT-GOBAIN ABRASIVES, INC.",US149146740L,US,3299,C - Manufacturing,,
auto_8471,8,SCANIA CV AKTIEBOLAG,SE5560840976,SE,2910,C - Manufacturing,16303741,51219
auto_8484,1,SCHAEFFLER TECHNOLOGIES AG & CO. KG,DE8190859040,DE,7112,"M - Professional, scientific and technical activities",15673471,77060
auto_8573,2,SECAM S.R.L.,IT02073480879,IT,4100,F - Construction,0,
auto_8704,8,SICAM S.R.L.,IT01445990359,IT,2829,C - Manufacturing,37600,115
auto_9222,2,STUDIO SILFOR S.R.O.,CZ24300063,CZ,7400,"M - Professional, scientific and technical activities",,
auto_9245,5,SUMITOMO RUBBER INDUSTRIES LTD,JP6140001008691,JP,2211,C - Manufacturing,8304033,40365
auto_9246,1,SUNCOAL INDUSTRIES GMBH,DE2011870130,DE,7210,"M - Professional, scientific and technical activities",,29
auto_9332,20,SYNTHOS DWORY 7 SP. Z O.O.,PL260133662,PL,2017,C - Manufacturing,1575654,1474
auto_9333,20,SYNTHOS S.A.,PL070472049,PL,7022,"M - Professional, scientific and technical activities",2994003,3690
auto_9334,2,SYNVINA C.V.,NL67120199,NL,2014,C - Manufacturing,,
auto_9539,5,TEIJIN ARAMID B.V.,NL09109421,NL,2060,C - Manufacturing,641872,1171
auto_9633,6,TEXAS AM UNIVERSITY SYSTEM,US292231787L,US,7490,"M - Professional, scientific and technical activities",10900,10
auto_9635,2,TEXAS INSTRUMENTS BERLIN GMBH,DE2010057971,DE,6209,J - Information and communication,,1
auto_9636,2,TEXAS INSTRUMENTS INC,US750289970,US,2611,C - Manufacturing,20028000,33000
auto_9691,2,THE TEXAS A & M UNIVERSITY SYSTEM,US205504101L,US,8541,P - Education,,
auto_9749,3,THYSSENKRUPP AG,DE5110216866,DE,2410,C - Manufacturing,40477612,96494
auto_9758,3,THYSSENKRUPP PRESTA AKTIENGESELLSCHAFT,LIFL00010025495,LI,2550,C - Manufacturing,,
